Episode,Full time,Gameplay Time,Game 1st Half,Game 2nd Half,Mid Break,,1st start,1st end,2nd start,2nd end
C2E111,3:29:54,3:02:01,1:56:55,1:05:06,0:15:14,,0:09:50,2:06:45,2:21:59,3:27:05
C2E112,4:11:56,3:40:50,1:58:38,1:42:12,0:15:22,,0:15:18,2:13:56,2:29:18,4:11:30
C2E113,4:01:05,3:36:39,1:58:51,1:37:48,0:15:11,,0:09:04,2:07:55,2:23:06,4:00:54
C2E114,3:40:26,3:03:44,2:13:55,0:49:49,0:16:04,,0:17:19,2:31:14,2:47:18,3:37:07
C2E115,4:06:55,3:43:30,2:04:31,1:38:59,0:15:12,,0:07:08,2:11:39,2:26:51,4:05:50
C2E116,4:03:19,3:35:42,2:15:16,1:20:26,0:16:00,,0:08:36,2:23:52,2:39:52,4:00:18
C2E117,4:12:46,3:43:46,2:28:49,1:14:57,0:15:14,,0:12:29,2:41:18,2:56:32,4:11:29
C2E118,4:29:11,4:02:29,2:17:46,1:44:43,0:16:03,,0:09:21,2:27:07,2:43:10,4:27:53
C2E119,3:24:42,3:01:46,1:33:56,1:27:50,0:15:18,,0:06:48,1:40:44,1:56:02,3:23:52
C2E120,3:47:18,3:15:58,2:07:47,1:08:11,0:15:53,,0:13:20,2:21:07,2:37:00,3:45:11
C2E121,3:16:11,2:50:58,1:39:51,1:11:07,0:16:02,,0:07:05,1:46:56,2:02:58,3:14:05
C2E122,3:34:23,3:05:55,1:54:57,1:10:58,0:15:27,,0:10:05,2:05:02,2:20:29,3:31:27
C2E123,5:22:12,4:57:43,2:19:34,2:38:09,0:15:36,,0:07:52,2:27:26,2:43:02,5:21:11
C2E124,4:09:52,3:42:39,1:36:18,2:06:21,0:15:23,,0:08:08,1:44:26,1:59:49,4:06:10
C2E125,3:43:40,3:14:36,1:56:56,1:17:40,0:16:37,,0:10:38,2:07:34,2:24:11,3:41:51
C2E126,3:30:10,3:03:02,2:13:35,0:49:27,0:15:27,,0:11:28,2:25:03,2:40:30,3:29:57
C2E127,3:15:59,2:49:59,1:11:54,1:38:05,0:15:16,,0:08:18,1:20:12,1:35:28,3:13:33
C2E128,3:30:47,3:03:39,2:25:29,0:38:10,0:16:09,,0:08:37,2:34:06,2:50:15,3:28:25
C2E129,3:33:05,3:06:30,2:09:19,0:57:11,0:15:17,,0:08:27,2:17:46,2:33:03,3:30:14
